Run_ID,Condition,Time_Period,ID,Name,Pool_Total_Revenue,Output,Capacity,Capability,Dispatch_Cost,Incr_Cost,Full_Load_Cost,Net_Cost,Fixed_Cost,Variable_OM_Cost,Fixed_Cost_Base,Variable_OM_Cost_Base,Fixed_Cost_Aux1,Variable_OM_Cost_Aux1,Fixed_Cost_Aux2,Variable_OM_Cost_Aux2,Fuel_Usage,Output_MWH,Output_MWH_Primary,Output_MWH_Secondary,Percent_Marginal,Percent_Committed,Primary_Fuel_Usage,Revenue,Energy_Revenue,Capacity_Revenue,Secondary_Fuel_Usage,Total_Fuel_Cost,Value,Forced_Outage,Maint_Outage,Used_For_Op_Reserve,Spin_Reserve,Spin_Reserve_Revenue,Non_Spin_Reserve,Non_Spin_Reserve_Revenue,Input_Spin_Reserve,Input_Spin_Reserve_Revenue,Report_Year,Report_Month,Report_Day,Report_Hour,LT_Iteration,Risk_Iteration,Study_Info,Record_Number,Total_Hours_Run
Base Case,Average,2020,MRO,MidwestReliabilityOrganization,4099754485,306,306,306,83.89,39.95,39.95,41.26,.,.,.,.,0,0,.,0,"24,191,136.00",2687904,2687904,0,100,0,24191136,112741.7109,112741.7109,0,.,107373.04,"5,369.00",0,0,0,0,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,234,8784
Base Case,Average,2020,AB,Alberta,4099754485,8778.083984,15541.61133,"12,736.00",106.89,34.61,35.44,27.05,"746,263.00","435,928.00","649,195.00","461,486.00",97067.72,-25557.92,.,0,"412,947,264.00",77106688,77106688,0,75.8,4.32,412947264,3684281.25,3684281.25,0,.,1481630.25,"915,950.00",1572.48,589.4973145,641.0111694,641.0111694,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,235,8784
Base Case,Average,2020,AB_CCCT_NG,AB_CCCT_NG,4099754485,2675.274658,3441.568115,"3,135.00",79.16,34.98,35.67,35.98,"186,884.00","162,306.00","138,522.00","162,306.00",48361.79,0,.,0,"170,459,344.00",23499612,23499612,0,20.22,16.35,170459344,1132337.625,1132337.625,0,.,653333.38,"123,812.00",174.88,131.5330963,11.92869663,11.92869663,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,236,8784
Base Case,Average,2020,AB_HY_WAT,AB_HY_WAT,4099754485,250.3448181,894,250,5.83,2.78,2.78,2.87,"28,363.00","6,108.00","28,363.00","6,108.00",0,0,.,0,0,2199029,2199029,0,0,0,0,102451.2813,102451.2813,0,.,0,"67,979.00",0,0,592.5001831,592.5001831,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,237,8784
Base Case,Average,2020,AB_OtherTech_NG,AB_OtherTech_NG,4099754485,89.30071259,97.99453735,89,71.91,34.24,35.82,37.03,"3,992.00","5,949.00","3,992.00","5,949.00",0,0,.,0,"5,816,455.50",784417.5,784417.5,0,0,0,5816455.5,37194.03906,37194.03906,0,.,22042.4,"5,074.00",4.77,3.919672012,0,0,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,238,8784
Base Case,Average,2020,AB_SCCT_NG,AB_SCCT_NG,4099754485,4362.695801,6288.168945,"5,845.00",68.59,29.93,30.77,22.94,"244,015.00","210,913.00","195,309.00","210,913.00",48705.93,0,.,0,"166,476,224.00",38321920,38321920,0,52.05,0.09,166476224,1828665.75,1828665.75,0,.,636199.31,"733,639.00",244.41,199.0543518,33.55136108,33.55136108,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,239,8784
Base Case,Average,2020,AB_SCCT_OT,AB_SCCT_OT,4099754485,85.62976837,94,86,10.07,4.8,4.81,4.97,"5,083.00","2,966.00","5,083.00","2,966.00",0,0,.,0,"8,193,872.50",752171.88,752171.88,0,0,0,8193872.5,35598.39063,35598.39063,0,.,654.13,"26,895.00",3.67,4.699999809,0,0,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,240,8784
Base Case,Average,2020,AB_ST_Coal,AB_ST_Coal,4099754485,536.9223022,2920,"2,548.00",275.8,59.8,61.12,68.05,"204,998.00","47,818.00","204,998.00","47,818.00",0,0,.,0,"50,488,880.00",4716325.5,4716325.5,0,3.53,1.08,50488880,227080.5625,227080.5625,0,.,168481.95,"-288,688.00",140.87,231.3661194,3.03093338,3.03093338,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,241,8784
Base Case,Average,2020,AB_ST_OT,AB_ST_OT,4099754485,301.9983521,340,302,8.98,4.28,4.29,4.43,"25,792.00","10,462.00","25,792.00","10,462.00",0,0,.,0,"11,512,486.00",2652753.5,2652753.5,0,0,0,11512486,125548.1016,125548.1016,0,.,919.07,"88,375.00",21,17,0,0,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,242,8784
Base Case,Average,2020,AB_ST_SUN,AB_ST_SUN,4099754485,3.636821508,15,4,0,0,0,0,507,.,507,.,0,0,.,0,0,31945.84,31945.84,0,0,0,0,1545.258545,1545.258545,0,.,0,"1,039.00",9.86,1.5,0,0,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,243,4628
Base Case,Average,2020,AB_WT_WND,AB_WT_WND,4099754485,472.2808533,1445,472,-5.32,-2.53,-2.53,-2.64,"46,462.00","-10,594.00","46,462.00","14,964.00",0,-25557.92,.,0,0,4148515,4148515,0,0,0,0,193860.1094,193860.1094,0,.,0,"157,992.00",972.81,0,0,0,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,244,8712
Base Case,Average,2020,AB_Renewables,Alberta Renewables Group,4099754485,1113.890625,2788,"1,114.00",3.11,1.48,1.49,1.11,"106,207.00","8,943.00","106,207.00","34,500.00",0,-25557.92,.,0,"19,706,358.00",9784415,9784415,0,0,0,19706358,459003.1563,459003.1563,0,.,1573.2,"342,280.00",1007.34,23.20000076,592.5001831,592.5001831,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,245,8784
Base Case,Average,2020,Intertie,AB Interties,4099754485,2336.625977,2526,"2,526.00",83.89,39.95,39.95,41.38,.,.,.,.,0,0,.,0,"184,724,304.00",20524922,20524922,0,100,0,184724304,964975.8125,964975.8125,0,.,822264.94,"142,711.00",0,0,71.49620819,71.49620819,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,246,8784
Forcing Wind,Average,2020,MRO,MidwestReliabilityOrganization,3843015317,304.0947876,306,306,83.89,39.95,39.95,41.27,.,.,.,.,0,0,.,0,"24,040,518.00",2671168.75,2671168.75,0,99.61,0,24040518,112077.6797,112077.6797,0,.,106740.63,"5,337.00",0,0,0,0,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,663,8750
Forcing Wind,Average,2020,AB,Alberta,3843015317,9109.118164,17641.61133,"13,511.00",107.57,32.51,33.29,23.51,"813,786.00","388,183.00","716,718.00","455,924.00",97067.72,-67741.16,.,0,"376,188,096.00",80014488,80014488,0,46.84,3.26,376188096,3567699.25,3567699.25,0,.,1335538.75,"930,805.00",2897.43,589.4973145,641.0111694,641.0111694,0,0,0,0,0,2020,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,664,8784
