Year,Generation,FuelType
1985,27798.4,Coal
1986,29094.5,Coal
1987,30886.2,Coal
1988,33103.5,Coal
1989,34002.6,Coal
1990,34963.6,Coal
1991,36689.5,Coal
1992,38546.7,Coal
1993,39187.2,Coal
1994,42269.8,Coal
1995,42460.8,Coal
1996,41220.3,Coal
1997,43054.2,Coal
1998,41267.7,Coal
1999,40276.7,Coal
2000,40462.2,Coal
2001,41713.3,Coal
2002,42541.7,Coal
2003,42345.7,Coal
2004,42538.6,Coal
2005,43986.2,Coal
2006,44531.4,Coal
2007,44278.4,Coal
2008,42418.7,Coal
2009,41230.7,Coal
2010,41120.2,Coal
2011,38859.4,Coal
2012,38272,Coal
2013,39186.4,Coal
2014,44442,Coal
2015,41378.1,Coal
2016,42226.9,Coal
2017,39323.7,Coal
2018,35631.9,Coal
1985,3806.3,NG
1986,3524.4,NG
1987,4164.9,NG
1988,5300.7,NG
1989,7341.1,NG
1990,5551.5,NG
1991,5129.6,NG
1992,6814.2,NG
1993,6762.4,NG
1994,7468.9,NG
1995,6236.8,NG
1996,7135,NG
1997,7654.1,NG
1998,10607.9,NG
1999,10645.3,NG
2000,13937.3,NG
2001,15493.6,NG
2002,14623.3,NG
2003,17272.7,NG
2004,18936.3,NG
2005,17161.6,NG
2006,19449.2,NG
2007,19804.6,NG
2008,21036,NG
2009,22689.8,NG
2010,24058.4,NG
2011,25106.8,NG
2012,27238.5,NG
2013,29028.3,NG
2014,28136.2,NG
2015,32215.4,NG
2016,33183.7,NG
2017,36821.8,NG
2018,40591.5,NG
1985,1385.4,Hydro 
1986,1791.4,Hydro 
1987,1443.6,Hydro 
1988,1422.7,Hydro 
1989,1589.5,Hydro 
1990,2050.9,Hydro 
1991,2031.8,Hydro 
1992,1575,Hydro 
1993,1792.3,Hydro 
1994,1763.2,Hydro 
1995,1999.8,Hydro 
1996,1966.7,Hydro 
1997,1824.3,Hydro 
1998,2043.3,Hydro 
1999,2181,Hydro 
2000,1748.2,Hydro 
2001,1446.3,Hydro 
2002,1668,Hydro 
2003,1733,Hydro 
2004,1977.2,Hydro 
2005,2371.8,Hydro 
2006,1966.4,Hydro 
2007,2113,Hydro 
2008,2149.9,Hydro 
2009,1695.3,Hydro 
2010,1620,Hydro 
